authorname	interest1	interest2	interest3	interest4	interest5
Xueyi Wang	support vector machine	cloud computing	resource allocation
Trey Ideker	cancer	systems biology	networking
Chongcheng Chen	data mining	visualization	data visualization
Uday V. Shanbhag	distributed algorithms	game theory	stochastic process
Yi-Hsuan Yang	machine learning	information retrieval	feature extraction
M. Asif Naeem	data mining	natural language processing	data warehouse
Ender Konukoglu	machine learning	image segmentation	image registration
Ibrahim Takouna	cloud computing	virtual machine	data center
Jose A. Ventura	dynamic programming	shape analysis	network model
Frédéric Guinand	mobile ad hoc networks	complex systems	scheduling
Jinyan Li	data mining	bioinformatics	health informatics
Balder ten Cate	computer science	database	logic
Irfan Altas	data mining	parallel algorithm	finite element
Carles Pairot	distributed systems	peer to peer	software engineering
Jonathan Vincent	artificial intelligence	intrusion detection	particle swarm optimization
Kokolo Ikeda	genetic algorithm	evolutionary algorithm	evolutionary computation
Alexander C. Berg	computer vision	machine learning	visual perception
Joshua Dunfield	programming language	functional programming	type systems
Junzhi Yu	mobile robot	motion control	oscillation
Yiannis Kompatsiaris	feature extraction	semantic web	visualization
Ágnes Havasi	numerical method	numerical solution	ordinary differential equation
Mehdi Khosrowpour	mobile computing	information technology	electronic commerce
Victor Fay Wolfe	real time system	parallel program	middleware
Yvan Labiche	software testing	verification	model driven development
Stephen W. Gilroy	augmented reality	user experience	interactive system
Shigeng Zhang	wireless sensor network	routing protocol	mobile communication
Aleksandar Lazarevic	data mining	neural networks	machine learning
Hélène Waeselynck	model checking	software testing	case study
Aude G. Billard	robotics	human robot interaction	humanoid robot
Christoph Laroque	genetic algorithm	computational model	simulation
Max A. Alekseyev	algorithms	graph theory	computational biology
Luis Javier Herrera	data mining	feature extraction	support vector machine
Gregory E. Kersten	expert system	decision support system	knowledge discovery
Miguel Damas	neural networks	embedded system	virtual environment
Sajid Hussain	wireless sensor network	mobile computing	ubiquitous computing
Mohsen Kahani	semantic web	linked data	natural language processing
Aulikki Hyrskykari	human computer interaction	interaction technique	eye tracking
Allan Kuchinsky	information extraction	information visualization	complex networks
Michael Picheny	neural networks	speech recognition	language model
Prasad Deshpande	data mining	middleware	association rule
Adam N. Joinson	social network	content analysis	artificial intelligence
Sergio Andreozzi	grid computing	cloud computing	business model
H. Vicky Zhao	social network	peer to peer	game theory
Dani Lischinski	image segmentation	computer graphics	virtual reality
Stefan Funke	algorithms	computational geometry	combinatorial optimization
Maritta Heisel	software engineering	software architecture	software development
Yufei Tao	data mining	data structure	query processing
David Wentzlaff	cloud computing	operating system	computer architecture
Luigi Vincenzo Mancini	wireless sensor network	distributed systems	information security
Wah June Leong	optimization	optimal control	stability
Andreas Girgensohn	user interface	world wide web	video analysis
Jim Steel	computer science	software engineering	java
Jen-Jee Chen	wireless network	mobile computing	ad hoc networks
Larry S. Davis	feature extraction	computer vision	image segmentation
Tom M. Mitchell	machine learning	artificial intelligence	knowledge base
Martin D. Beer	multi agent system	management system	distance learning
Andrew Herbert	distributed systems	user interface	operating system
Miguel E. Ruiz	data mining	machine learning	information retrieval
Keith Ross	online social networks	privacy	networking
Oscar Dieste	data management	requirements engineering	knowledge engineering
Pablo A. Parrilo	game theory	convex optimization	semidefinite programming
Rajiv M. Dewan	information system	decision support system	electronic commerce
Shankar Pal	neural networks	distributed systems	image processing
Hua-Jun Zeng	machine learning	information retrieval	distributed systems
Flávio Oquendo	software system	software architecture	business process
Teresa Diogo	numerical method	mathematics	integral equation
Aske Plaat	machine learning	distributed systems	artificial intelligence
Jeffrey S. Pierce	computer graphics	virtual environment	virtual reality
Avi Mendelson	embedded system	cloud computing	operating system
Christoph S. Garbe	machine learning	computer science	computer vision
Steffi Beckhaus	computer graphics	virtual environment	virtual reality
Yew-Soon Ong	machine learning	genetic algorithm	embedded system
Tung-Kuan Liu	genetic algorithm	evolutionary algorithm	dynamical system
Il-Chul Moon	data mining	machine learning	social network
M. N. Doja	computer network	software engineering	soft computing
Friedrich L. Bauer	programming language	information theory	formal language
Fosca Giannotti	data mining	data analysis	query language
Tommaso Toffoli	dynamical system	differential equation	cellular automata
David J. C. MacKay	neural networks	hidden markov model	language model
Aryya Gangopadhyay	data mining	knowledge discovery	database design
Donald R. Chand	information system	software process	database design
Teresa Krick	computational complexity	algebraic geometry	number theory
Won-Kee Hong	wireless sensor network	performance analysis	system architecture
Masugi Inoue	access network	mesh network	network architecture
Daniel Slamanig	cryptography	privacy	information security
Sagar Sunkle	data management	domain specific language	enterprise modeling
John B. Carter	computer science	data structure	hardware
Johan Montagnat	data management	image analysis	distributed applications
J. A. Ferreira	scientific computing	numerical simulation	hybrid system
Nilufer Onder	artificial intelligence	evolutionary algorithm	simulation
Chi-Min Liu	computational complexity	decoding	multimedia
Vincent Mooney	embedded system	system on chip	design space exploration
ZhenQiu Zhang	human computer interaction	face recognition	hidden markov model
Yansong Feng	natural language processing	pattern recognition	data model
Zhongming Zhao	gene expression	protein	gene regulation
Walter J. Karplus	distributed systems	parallel processing	artificial neural network
Dimitri Theodoratos	database	query processing	optimization
W. Keith Edwards	user interface	security	ubiquitous computing
Khalid Sayood	data compression	image compression	channel coding
Oliver Po	web service	cloud computing	database
Hidetomo Nabeshima	data mining	machine learning	search engine
Olaf Stursberg	model checking	nonlinear system	optimal control
Matthew R. McKay	sensor network	signal processing	information theory
Stefan Kurtz	data compression	dynamic programming	interactive visualization
Jiashu Zhang	neural networks	computational complexity	face recognition
Ziyang Liu	xml	heterogeneous network	quantum chemistry
Franck Legendre	wireless network	routing protocol	complex networks
Slava Kisilevich	recommender system	decision support system	sentiment analysis
Perwez Shahabuddin	computational model	stochastic model	statistical model
Guido Masera	wireless sensor network	motion estimation	channel coding
Jarmo J. Ahonen	software engineering	data analysis	software maintenance
Bärbel Mertsching	image processing	mobile robot	object recognition
Yohan Baillot	user interface	virtual environment	virtual reality
Simon M. Lucas	neural networks	artificial intelligence	evolutionary algorithm
Baifeng Wu	embedded system	computational model	graphics processing units
Shinji Watanabe	speech recognition	hidden markov model	speech processing
Qiang-Sheng Hua	wireless sensor network	wireless network	scheduling algorithm
James Horey	sensor network	operating system	mobile computing
Miomir Vukobratovic	neural networks	mathematical model	robot control
Kyuseok Shim	data mining	computer science	knowledge discovery
Yasutake Takahashi	neural networks	mobile robot	reinforcement learning
Fernando Sánchez-Figueroa	user interface	web application	web engineering
Tae-Seong Kim	data analysis	image analysis	finite element
Alexander Tuzhilin	data mining	machine learning	personalization
Svetlana Kiritchenko	natural language processing	computational linguistics	sentiment analysis
Fernando Jaureguizar	motion estimation	object detection	object tracking
Razvan Bologa	information system	business intelligence	organizational learning
